样例文本,应正确读出的对应中文文本
昨天买了 9 支新钢笔,昨天买了九支新钢笔
书架最上层摆着 23 本旧书,书架最上层摆着二十三本旧书
厨房柜子里藏着 5 块巧克力,厨房柜子里藏着五块巧克力
阳台花盆里种了 17 株多肉,阳台花盆里种了十七株多肉
书包侧袋里有 8 个乒乓球,书包侧袋里有八个乒乓球
这座古镇有 1865 户原住民,这座古镇有一千八百六十五户原住民
今年马拉松参赛人数达 21347 人,今年马拉松参赛人数达两万一千三百四十七人
图书馆新到了 56789 册图书,图书馆新到了五万六千七百八十九册图书
这条高速公路全长 123456 米,这条高速公路全长十二万三千四百五十六米
该 APP 下载量突破 876543 次,该APP下载量突破八十七万六千五百四十三次
这瓶果汁的容量是 1.5 升,这瓶果汁的容量是一点五升
婴儿体重增加了 0.7 千克,婴儿体重增加了零点七千克
今天的平均气温是 23.8 摄氏度,今天的平均气温是二十三点八摄氏度
这张桌子的宽度为 0.65 米,这张桌子的宽度为零点六五米
汽油每升售价 8.97 元,汽油每升售价八点九七元
蛋糕的 1/3 留给明天吃,蛋糕的三分之一留给明天吃
班级里 3/4 的同学会弹钢琴,班级里四分之三的同学会弹钢琴
路程才走了 1/5 就累了,路程才走了五分之一就累了
预算的 2/7 用于购买设备,预算的七分之二用于购买设备
这本书我已经读了 5/8,这本书我已经读了八分之五
北方夜间气温低至 - 8℃,北方夜间气温低至负八摄氏度
银行卡透支了 350 元,银行卡透支了三百五十元
死海海拔约 - 430 米,死海海拔约负四百三十米
误差允许范围是 - 0.3,误差允许范围是负零点三
公司利润同比 - 12%,公司利润同比负百分之十二
办公室前台电话：010-87654321,办公室前台电话零幺零八七六五四三二幺
家里的座机是 021-22345678,家里的座机是零二幺二二三四五六七八
门店咨询电话：020-23456789,门店咨询电话零二零二三四五六七八九
售后热线座机：022-98765432,售后热线座机零二二九八七六五四三二
老家电话：023-34567890,老家电话零二三三四五六七八九零
她的身份证号前六位是 310101,她的身份证号前六位是三幺零幺零幺
身份证号开头 1101021995,身份证号开头幺幺零幺零二一九九五
他的身份证有 41010319851212,他的身份证有四幺零幺零三一九八五一二一二
号码包含 22010420200505,号码包含二二零幺零四二零二零零五零五
登记的身份证片段 3301051998,登记的身份证片段三三零幺零五一九九八
他的护照号是 P12345678,他的护照号是P一二三四五六七八
这本护照编号 K87654321,这本护照编号K八七六五四三二一
旅游护照号 L23456789,旅游护照号L二三四五六七八九
公务护照编号 M98765432,公务护照编号M九八七六五四三二
旧护照号是 N34567890,旧护照号是N三四五六七八九零
您的网购订单号 ORD20250730002,您的网购订单号ORD二零二五零七三零零零二
查询请输 2025073010002,查询请输二零二五零七三零一零零零二
