Sample Text,Expected Output
This is 3.7 m/s² acceleration,This is three point seven meters per second squared acceleration
This is 42 km/h speed limit,This is forty two kilometers per hour speed limit
This is 98.6 °F body temp,This is ninety eight point six degrees Fahrenheit body temp
Upgrade to TLS 1.3,Upgrade to TLS one point three
Enable IPv6 stack,Enable IPv six stack
Switch to 5G,Switch to five G
Use RESTful API,Use Restful API
Enable MFA via TOTP,enable MFA via TOTP
This is Run GPU CUDA kernel,This is run GPU CUDA kernel
Use JWT auth token,use JWT auth token
This is H₂SO₄ 98 % solution,This is H two SO four ninety eight percent solution
This is NaCl 0.9 % saline,This is NaCl zero point nine percent saline
This is CaCO₃ limestone,This is CaCO three limestone
MRI showed COVID-19 complications,MRI showed COVID nineteen complications
This is PET-CT SUV 8.2,This is PET CT SUV eight point two
This is US abdomen 7.5 MHz,This is US abdomen seven point five megahertz
This is X-ray wrist AP view,This is X ray wrist AP view
This is DEXA T-score −2.5,This is DEXA T score minus two point five
This is ECG-gated CTA,This is ECG gated CTA
This is DWI acute infarct,This is DWI acute infarct
This is 3T Siemens Magnetom,This is three T Siemens Magnetom
This is T1 post-Gd enhancement,This is T one post gd enhancement
This is 121700Z 02008KT 9999 SCT035,This is one two one seven zero zero Z zero two zero zero eight KT nine nine nine nine SCT zero three five
Hurricane AL132025,Hurricane AL one three two zero two five
Tornado EF3 damage,tornado EF three damage
This is exon 2-8,This is exon two to eight
intron 1 splice site,intron one splice site
chromosome 17p3.1,chromosome seventeen p three point one
frameshift +1,frameshift plus one
This is CAG repeat 40,This is CAG repeat forty
Phred score Q30,Phred score Q thirty
barcode i7 index,barcode i seven index
coverage 30× depth,coverage thirty times depth
This is BUSCO completeness 95 %,This is BUSCO completeness ninety five percent
This is RVR 600 m runway 09,This is RVR six hundred meters runway zero nine
I know Dr. Brown prescribed the medication,I know Doctor Brown prescribed the medication
I know Prof. White lectures on Tuesdays,I know Professor White lectures on Tuesdays
I know Rev. Green led the Sunday service,I know Reverend Green led the Sunday service
"The plane climbed to 35,000 ft",The plane climbed to thirty five thousand feet
I know ATC cleared the flight for takeoff,I know ATC cleared the flight for takeoff
The CPU runs at 3.8 GHz,The CPU runs at three point eight gigahertz
This is PSU with 80+ Gold rating,This is PSU with eighty plus Gold rating
"The river flows 1,200 km to the sea",The river flows one thousand two hundred kilometers to the sea
"Mount Everest is 8,848 m tall",Mount Everest is eight thousand eight hundred forty eight meters tall
"The desert covers 500,000 sq km",The desert covers five hundred thousand square kilometers
This is 4% milk,This is four percent milk
This is 3½ cups AP flour,This is three and a half cups ap flour
Grid EG457834,Grid EG four five seven eight three two
This is 200 ms jitter buffer,This is two hundred milliseconds jitter buffer
The fault line stretches 252 mi,The fault line stretches two hundred fifty two miles
