Sample Text,Expected Output
This is Title 18 §231(a)(1) prohibits transport of stolen vehicles,This is Title eighteen section two thirty one a one prohibits transport of stolen vehicles
This is Rule 41(b)(2) requires dismissal for lack of prosecution,This is Rule forty one b two requires dismissal for lack of prosecution
"This is Skin test: PPD 5 mm induration, Histamine control 3 mm",This is Skin test PPD five millimeters induration Histamine control three millimeters
"This is Serum electrophoresis: Normal pattern, No M spike detected",This is Serum electrophoresis Normal pattern No M spike detected
"This is Urine culture: No growth after 48hr, <10,000 CFU/mL",This is Urine culture No growth after forty eight hours less than ten thousand CFU per milliliter
"This is Blood culture: Negative at 5 days, No pathogens isolated",This is Blood culture Negative at five days No pathogens isolated
"This is Sputum culture: Normal flora, No pathogenic organisms",This is Sputum culture Normal flora No pathogenic organisms
"This is Keyboard: Mechanical, Cherry MX Red, 60% layout, RGB backlit",This is keyboard mechanical cherry mx red sixty percent layout RGB backlit
"This is Fitness tracker: Heart rate, SpO₂, sleep monitor, 7-day battery, IP68",This is fitness tracker heart rate SpO two sleep monitor seven day battery IP sixty eight
"This is Air conditioner: 12000 BTU, 550 sq ft, 115V, 58dB, EER 12.0",This is Air conditioner twelve thousand BTU five hundred fifty square feet one hundred fifteen volts fifty-eight decibels EER twelve point zero
"This is Heater: 1500W, ceramic, 3 modes, thermostat, 70° oscillation",This is Heater one thousand five hundred watts ceramic three modes thermostat seventy degrees oscillation
"This is Smart bulb: 800 lumens, 2700K-6500K, dimmable, Wi-Fi/Bluetooth",This is Smart bulb eight hundred lumens two thousand seven hundred K to six thousand five hundred K dimmable WiFi slash Bluetooth
"This is Security camera: 2K, night vision 30ft, 2-way audio, IP66, cloud/local storage",This is Security camera two K night vision thirty feet two way audio IP sixty six cloud slash local storage
"This is Operating temperature: -20°C to 60°C, Storage: -40°C to 85°C",This is Operating temperature minus twenty degrees Celsius to sixty degrees Celsius Storage minus forty degrees Celsius to eighty five degrees Celsius
"This is Cable gauge: 18 AWG, Max current: 10A, Insulation: PVC 90°C",This is Cable gauge eighteen AWG Max current ten A Insulation PVC ninety degrees Celsius
"This is Housing Starts: 1.45M (-8.0% MoM), Permits: 1.54M",This is Housing starts one point four five M minus eight point zero percent  MoM Permits one point five four M
"This is Nike: Revenue $12.8B (+4.3%), China Sales +11.2%",This is Nike Revenue twelve point eight billion dollars plus four point three percent China Sales plus eleven point two percent
"This is Starbucks: Stores 38,425 (+3.2%), Same-Store Sales +5.1%",This is Starbucks Stores thirty eight thousand four hundred twenty five plus three point two percent Same Store Sales plus five point one percent
"This is Adobe: Subscription Revenue 94.2% of total, ARR $19.8B",This is Adobe Subscription Revenue ninety four point two percent of total ARR nineteen point eight billion dollars
"This is Boeing: Deliveries 125 planes (+18.7%), Backlog $487B",This is Boeing Deliveries one hundred twenty five planes plus eighteen point seven percent Backlog four hundred eighty seven billion dollars
"This is Caterpillar: Machinery Sales $15.6B (+12.3%), China +8.7%",This is Caterpillar Machinery Sales fifteen point six billion dollars plus twelve point three percent China plus eight point seven percent
"This is Alps: 1,200km, Highest peak: Mont Blanc (4,808m)",This is Alps one thousand two hundred kilometers Highest peak Mont Blanc four thousand eight hundred eight meters
"This is Himalayas: 2,400km, Countries: 5, Peaks >8,000m: 14",This is Himalayas two thousand four hundred kilometers Countries five Peaks greater than eight thousand meters fourteen
"This is Tokyo Bay: 1,160km², Depth 40m, Cities: Tokyo, Yokohama",This is Tokyo Bay one thousand one hundred sixty square kilometers Depth forty meters Cities Tokyo Yokohama
"This is Bering Strait: 82km wide, Depth 50-165m, Connects Pacific/Arctic",This is Bering Strait eighty two kilometers wide Depth fifty to one hundred sixty five meters Connects Pacific Arctic
"This is Yangtze River: 6,300km, Discharge 30,166m³/s, Basin 1.8M km²",This is Yangtze River six thousand three hundred kilometers Discharge thirty thousand one hundred sixty six cubic meters per second Basin one point eight million square kilometers
"This is Rocky Mountains: 4,800km, Highest peak: Mount Elbert (4,401m)",This is Rocky Mountains four thousand eight hundred kilometers Highest peak Mount Elbert four thousand four hundred one meters
"This is Jupiter: 5.2 AU from Sun, 11.2× Earth diameter, 67 moons",This is Jupiter five point two AU from Sun eleven point two times Earth diameter sixty seven moons
"This is NaClO: Molar mass 74.44 g/mol, MP 18°C (pentahydrate), Solubility 29.3 g/100mL",This is NaClO Molar mass seventy four point four four grams per mole MP eighteen degrees Celsius pentahydrate Solubility twenty nine point three grams per one hundred milliliters
"This is H₂S: Molar mass 34.08 g/mol, MP -85.5°C, BP -60.3°C, pKa 7.04",This is H two S Molar mass thirty four point zero eight grams per mole MP negative eighty five point five degrees Celsius BP negative sixty point three degrees Celsius pKa seven point zero four
"This is Human genome: 3.2 billion base pairs, 20,000-25,000 genes, 23 chromosome pairs",This is Human genome three point two billion base pairs twenty thousand to twenty five thousand genes twenty three chromosome pairs
"This is E. coli: 4.6 million bp genome, 20 min generation time, 1-2 μm length",This is E coli four point six million bp genome twenty min generation time one to two micrometers length
"This is Speed of sound: 343.2 m/s in air (20°C), varies with medium",This is Speed of sound three hundred forty three point two meters per second in air twenty degrees Celsius varies with medium
"This is Solar constant: 1361 W/m², energy from Sun per unit area at Earth",This is Solar constant one thousand three hundred sixty one watts per square meter energy from Sun per unit area at Earth
This is Reynolds number for laminar flow: Re < 2000 in pipes,This is Reynolds number for laminar flow Re less than two thousand in pipes
"This is Ideal gas law: PV = nRT, pressure times volume equals moles times R times temperature",This is Ideal gas law P V equals n R T pressure times volume equals moles times R times temperature
"This is Tesla to gauss conversion: 1 T = 10,000 G",This is Tesla to gauss conversion one T equals ten thousand G
"This is BSB 062-000, Account 12345678",This is BSB zero six two zero zero zero Account one two three four five six seven eight
"This is CHIPS UID 37548, Account 87654321",This is CHIPS UID three seven five four eight Account eight seven six five four three two one
This is CLABE 012 180 0012 3456 7890 1,This is CLABE zero one two one eight zero zero zero one two three four five six seven eight nine zero one
"This is MICR code 110000025, Account 555444333",This is MICR code one one zero zero zero zero zero two five Account five five five four four four three three three
This is F = -kx,This is F equals negative k x
This is V = IR,This is V equals IR
This is P = VI,This is P equals VI
This is Φ = BA cosθ,This is Phi equals B A cosine theta
This is F = σlB,This is F equals sigma lB
This is Q = mcΔT,This is Q equals m c delta T
This is L = Iω,This is L equals I omega
This is c = 299792458 m/s,This is c equals two hundred ninety nine million seven hundred ninety two thousand four hundred fifty eight meters per second
This is GDPR Art. 17(1)(b)-(d),This is GDPR Art seventeen one b d
This is Monero: 44AFFq5...,This is Monero four four AFFq five
"This is UL 62368-1, Annex BBB",This is UL six two three six eight one Annex B B B
"This is Speed of light (c): 299,792,458 m/s",This is Speed of light c two hundred ninety nine million seven hundred ninety two thousand four hundred fifty eight meters per second
This is Characteristic impedance of vacuum (Z₀): 376.730313668 Ω,This is Characteristic impedance of vacuum Z three hundred seventy six point seven three zero three one three six six eight ohms
This is Electron g-factor: 2.00231930436256,This is Electron g factor two point zero zero two three one nine three zero four three six two five six
This is Proton g-factor: 5.585694713,This is Proton g factor five point five eight five six nine four seven one three
This is Human genome:34 chromosome pairs,This is Human genome thirty four chromosome pairs
"This is E. coli:50 min generation time, 2-3 μm length",This is E coli fifty min generation time two to three micrometers length
