多音字,测试文本
我打算用称称一称这些货物的重量。,我打算用称称一称这些货物的重量
这把扇子是扇风用的。,这把扇子是扇风用的
他语气很重的重复了一遍刚才的话。,他语气很重的重复了一遍刚才的话
我长大后想去长江看一看。,我长大后想去长江看一看
我数学数一数二好不好。,我数学数一数二好不好
我不想给你了，你归还还是不归还。,我不想给你了你归还还是不归还
班长姓曾曾经是一个十分亲切的领导。,班长姓曾曾经是一个十分亲切的领导
普通人参不透啊。,普通人参不透啊
一把带子弹的手枪。,一把带子弹的手枪
吃个饭了不得了。,吃个饭了不得了
我好大只是不是。,我好大只是不是
要利用课间间隙吃饭。,要利用课间间隙吃饭
你学会会计了吗。,你学会会计了吗
野外测量要多思量，量力而行。,野外测量要多思量量力而行
他穿着丧服，神情沮丧。,他穿着丧服神情沮丧
我觉得数学中奇数是最奇妙的。,我觉得数学中奇数是最奇妙的
穿着干净的衣服干脏活。,穿着干净的衣服干脏活
我的小卡子卡在缝里了。,我的小卡子卡在缝里了
瓶子倒了，水倒了出来。,瓶子倒了水倒了出来
上校到校场找人校对材料。,上校到校场找人校对材料
我希望行长能得出一个行之有效的解决方案。,我希望行长能得出一个行之有效的解决方案
他在那像哄小孩似的，引得人们直哄堂大笑。,他在那像哄小孩似的引得人们直哄堂大笑
小苏在学生宿舍说了一宿有关星宿的理论知识。,小苏在学生宿舍说了一宿有关星宿的理论知识
我期中中奖了，一门课都没过，其中还包含体育！,我期中中奖了一门课都没过其中还包含体育
听单老师说，单于只会骑大马，不会骑单车。,听单老师说单于只会骑大马不会骑单车
他自己懒散惯了，却总是埋怨别人埋头工作。,他自己懒散惯了却总是埋怨别人埋头工作
他正看着热闹呢，突然发现晒的衣服着火了。,他正看着热闹呢突然发现晒的衣服着火了
佛教认为一切般若智，都是从自性而生，不假外求。,佛教认为一切般若智都是从自性而生不假外求
他每次出差差不多都要出点差错才能回公司交差。,他每次出差差不多都要出点差错才能回公司交差
这两批货物都打折出售，严重折本，他再也经不起这样折腾。,这两批货物都打折出售严重折本他再也经不起这样折腾
张和大喝一声：“快拿酒来，我要喝十二碗。“引得众食客一阵喝彩。,张和大喝一声快拿酒来我要喝十二碗引得众食客一阵喝彩
你这招真绝，让他干着急，又没有办法着手应付，老是悬着一颗心。,你这招真绝让他干着急又没有办法着手应付老是悬着一颗心
据史书记载，王昭君多才多艺，每逢三年五载首脑们聚会，她都要载歌载舞。,据史书记载王昭君多才多艺每逢三年五载首脑们聚会她都要载歌载舞
尽管他的生活一直没有宁静过，但他也不想息事宁人，一直宁死不屈。,尽管他的生活一直没有宁静过但他也不想息事宁人一直宁死不屈
最近天气暖和，小和在家和泥抹墙，他将原则，在是非面前从不和稀泥，也不随声附和别人，更不会在麻将桌上高喊，我和了。,最近天气暖和小和在家和泥抹墙他将原则在是非面前从不和稀泥也不随声附和别人更不会在麻将桌上高喊我和了
某副省长如果能早点醒悟，就不至于丢了官职，气的不省人事了。,某副省长如果能早点醒悟就不至于丢了官职气的不省人事了
这首诗写的太拗口了，但是他执拗不改，气的我把笔杆都拗断了。,这首诗写的太拗口了但是他执拗不改气的我把笔杆都拗断了
小雨坐着马扎钓小鱼，钓到的小鱼拼命挣扎让小雨扎破了手指，他随意包扎一下就继续钓鱼去了。,小雨坐着马扎钓小鱼钓到的小鱼拼命挣扎让小雨扎破了手指他随意包扎一下就继续钓鱼去了
盛老师盛情邀请我去他们家里做客，还给我盛了一大碗米饭。,盛老师盛情邀请我去他们家里做客还给我盛了一大碗米饭
最近在排练吹小号，有几个小孩吹的不好受了批评，那几个吹小号的小孩都号啕大哭起来。,最近在排练吹小号有几个小孩吹的不好受了批评那几个吹小号的小孩都号啕大哭起来
有一天小和和面准备做馒头，他和邻居说：“今天和些面，晚上和我们一起吃。,有一天小和和面准备做馒头他和邻居说今天和些面晚上和我们一起吃
行走在这条繁忙的银行街上，你会发现各行各业的商铺林立。,行走在这条繁忙的银行街上你会发现各行各业的商铺林立
好动的他发现了一个好玩的游戏。,好动的他发现了一个好玩的游戏
张大妈早早回家和药，冲了一碗很苦的汤水喝了。,张大妈早早回家和药冲了一碗很苦的汤水喝了
有一个看起来道行很深的僧人正在朝这里走来，说他是到处行医的僧人，我说看起来是个行家呢,有一个看起来道行很深的僧人正在朝这里走来说他是到处行医的僧人我说看起来是个行家呢
他除了游戏玩的好，还十分好学，小明的好成绩也让老师和同学们都对他刮目相看,他除了游戏玩的好还十分好学小明的好成绩也让老师和同学们都对他刮目相看
在和谐的社区里，居民们相处得很和气,在和谐的社区里居民们相处得很和气
邻居笑并附和着，天气十分暖和。,邻居笑并附和着天气十分暖和
小贺把和好的面拿出来，和上馅料，做成了美味的包子和饺子。,小贺把和好的面拿出来和上馅料做成了美味的包子和饺子
他用橇棍撬动石头，说雪橇在雪地里很好用。,他用橇棍撬动石头说雪橇在雪地里很好用
我们要学会调节自己的情绪，掌握一些调查研究的方法。,我们要学会调节自己的情绪掌握一些调查研究的方法
今天的天气很闷热，让人心情烦闷。,今天的天气很闷热让人心情烦闷
我有一个爱好，就是好奇大自然的奥秘。,我有一个爱好就是好奇大自然的奥秘
他担心生活的担子很重。,他担心生活的担子很重
听单老师说单于只会骑大马不会骑单车,听单老师说单于只会骑大马不会骑单车
看着他那强壮的身体，很难想象他曾经强迫自己进行高强度训练。,看着他那强壮的身体很难想象他曾经强迫自己进行高强度训练
我数了数篮子里的苹果，大概有数十个。,我数了数篮子里的苹果大概有数十个
她在房间里倒腾了半天，才把倒置的家具摆放整齐。,她在房间里倒腾了半天才把倒置的家具摆放整齐
