测试文本,应该读出的文字
卡号: 4662 0310 0000 7890，清算行号: 308290000013，IBAN: DE89370400440532013000,卡号四六六二零三幺零零零零零七八九零清算行号三零八二九零零零零零幺三IBANDE八九三七零四零零四四零五三二零幺三零零零
大额支付行号: 104100000004，账号: 1109 0299 9010 1000 8888,大额支付行号幺零四幺零零零零零零零四账号幺幺零九零二九九九零幺零幺零零零八八八八
联名账户持有人：张三、李四，账户状态：正常，开户日期: 2023-05-18,联名账户持有人张三李四账户状态正常开户日期二零二三年五月十八日
定期存单：起存日 2024-01-10，到期日 2025-01-10，利率 2.15%/ 年,定期存单起存日二零二四年一月十日到期日二零二五年一月十日利率百分之二点一五年
"公积金账号：京 A12345678，缴存基数: ¥28,000，比例 12%",公积金账号京A幺二三四五六七八缴存基数两万八千元比例百分之十二
电子银行令牌：0thb3325，动态密码每 60s 更新，绑定手机: 13822335678,电子银行令牌零thb三三二五动态密码每六十秒更新绑定手机幺三八二二三三五六七八
《著作权法》第 10 条第 (五) 项：复制权，即以印刷、复印、拓印... 等方式将作品制作一份或者多份的权利,著作权法第十条第五项复制权即以印刷复印拓印等方式将作品制作一份或者多份的权利
血红蛋白: 135g/L，红细胞压积: 40%,血红蛋白一百三十五克每升红细胞压积百分之四十
心电图：窦性心律，心率: 72 次 / 分，PR 间期: 0.16s,心电图窦性心律心率七十二次每分PR间期零点一六秒
骨密度: T值 -0.5SD，Z值 0.2SD，参考范围: ±1SD,骨密度T值负零点五SDZ值零点二SD参考范围正负一SD
肾功能: 血尿素氮 5.2mmol/L，Cr 88μmol/L，UA 320μmol/L,肾功能血尿素氮五点二毫摩尔每升Cr八十八微摩尔每升UA三百二十微摩尔每升
凝血功能: PT 12.5s，APTT 35s，INR 1.05,凝血功能PT十二点五秒APTT三十五秒INR一点零五
显卡: RTX 4060 (8GB)，显存位宽: 128bit,显卡RTX四零六零八GB显存位宽一百二十八比特
